img_id,width_mm,height_mm,watermark
0109,160,115,
0111,136,176,"SPICERS WOVE"
0113,160,115,
0115,149,209,
0117,160,115,
0119,297,210,
0121,160,115,
0123,297,210,
0125,160,115,
0127,297,210,
0129,161,115,
0131,297,209,
0001,161,115
0003,297,210
0005,210,297,"NEUSIEDLER JAPAN POST"
0007,161,114,
0009,209,297,
0011,160,114,
0013,161,115,
0015,162,115,
0017,210,298,"Myrtle Mill"
0019,165,92,
0021,216,281,"Permanized PLOVER BOND 25% COTTON FIBER USA"
0023,240,104,
0025,217,280,"Permanized PLOVER ONION SKIN 25% COTTON FIBER"
0027,241,105,
0029,216,280,"Permanized PLOVER ONION SKIN 25% COTTON FIBER"
0031,162,115,
0033,162,114,
0035,162,114,
0037,209,293,"Myrtle Mill"
0039,145,114,
0041,135,177,
