document_id,edition_title,entities_to_check,internal_evidence,interp_nanopub_comment,translation,Wikipedia,revision_desc
0070,edition_title,"Fillgradergasse, Fracty",amp_event_id_61,"""the wrong Kirchstetten"" (amp_place_id_314, ana_001, ph_001)","DONE: xml:lang",,revision_desc
0045,edition_title,,"amp_event_id_62, amp_event_id_63",,"DONE: xml:lang",,revision_desc
0058,edition_title,"amp_place_id_11 (since when)","amp_event_id_64"," ""yourPlace"" (amp_place_id_315, ana_003, ph_003); origDate (ana_002, ph_002)","DONE: xml:lang",,revision_desc
0057,edition_title,,,"origDate (ana_004, ph_004)","DONE: xml:lang",,revision_desc
0022,edition_title,,,,"DONE: xml:lang",,revision_desc
0021,edition_title,,"amp_event_id_65",,"DONE: xml:lang","add paragraph on Auden-Musulin-Fritsch (meeting was planned but never happened) en and de",revision_desc
0071,edition_title,,,"origDate (ana_005, ph_005); @ana=ana_003 for origPlace","DONE: xml:lang",,revision_desc
0059,edition_title,"we still need the bedroom letter :-/",,,"DONE: xml:lang",,revision_desc
0063,edition_title,"""heute Abend"" reading of Christine Busta; ""Caféhaus Drei viertel""",amp_event_id_67,"@ana=ana_003 for origPlace","DONE: xml:lang",,revision_desc
0023,edition_title,,amp_event_id_16,,"DONE: xml:lang","add paragraph on Auden-Zimmer de and create en article",revision_desc
0024,edition_title,,amp_event_id_68,,"DONE: xml:lang",,revision_desc
0025,edition_title,,amp_event_id_17,,"DONE: xml:lang",,revision_desc
0001,edition_title,,"amp_event_id_71, amp_event_id_84","""be in Vienna this coming week ..."" (ana_006, ph_006)","DONE: xml:lang",,revision_desc
0002,edition_title,"TODO: mark up intertextuality with doc 0038",amp_event_id_70,"DONE: reference to previous letter by Musulin (ana_007, ph_007)","DONE: xml:lang","add Ford Foundation stay to Auden en and de articles",revision_desc
0038,edition_title,"TODO: mark up intertextuality with doc 0002",amp_event_id_85,"DONE: comment on Gemeindepflicht (ana_008, ph_008)","DONE: xml:lang",,revision_desc
0039,edition_title,,"amp_event_id_72, amp_event_id_73","DONE: TEI formalization of interp re ""German friend""(ana_009, ph_009)","DONE: xml:lang",,revision_desc
0003,edition_title,,"DONE: amp_event_id_74, TODO: research amp_even_id_75",,"DONE: xml:lang",,revision_desc
0004,edition_title,"TODO: ""one-whose-name-we-never-mention"", ""friend of mine who teaches schyzophrenics"", ""seventeen year old girl""","DONE: amp_event_id_76, amp_event_id_77, amp_event_id_86","TODO: intertextuality lit_work_id_157; DONE: interp re ""Harrison"" (ana_010, ph_010)","DONE: xml:lang",,revision_desc
0005,edition_title,,"DONE: amp_event_id_1",,"DONE: xml:lang",,revision_desc
0006,edition_title,"TODO: ""Wandl""; name of Strobl husband; geonames for Hotel Wandl","DONE: amp_event_id_10, amp_event_id_82","DONE: TEI formalization of interp re ""Wandl"" (ana_011, ph_011)","DONE: xml:lang",,revision_desc
0042,edition_title,,"DONE: amp_event_id_78",,"DONE: xml:lang",,revision_desc
0007,edition_title,"DONE: remove Zimmer entity","DONE: amp_event_id_79, amp_event_id_80, amp_event_id_81, amp_event_id_83",,"DONE: xml:lang",,revision_desc
0008,edition_title,"DONE: remove event entity re left behind",,,"DONE: xml:lang","add Auden friendship to Heyworth Wikipedia",revision_desc
0009,edition_title,"TODO: check Otto Hoffmann and Schweighofer address","DONE: amp_event_id_87, amp_event_id_88, amp_event_id_89","DONE: comment Czech refugees (ana_012, ph_012); partly TEI formalization","DONE: xml:lang",,revision_desc
